stage,category,tier,cost,use,name,url,status,notes
build,ui-graphics,more,free,"asset or tool, check per item",Mesher,https://csshero.org/mesher,unverified,A Free tool to create beautiful mesh gradients only with CSS code. Use your own colors or randomly generated ones to bui
build,ui-graphics,more,free,"asset or tool, check per item",Square Face Avatar Generator,https://www.squarefaceicongenerator.co,unverified,Generate square-face avatars & icons online |
type,fonts,top,free,"asset, respect the font licence (often OFL)",Google Fonts,https://fonts.google.com,unverified,Library of around 1000 free licensed font families |
type,fonts,more,free,"asset, respect the font licence (often OFL)",DaFont,https://www.dafont.com,unverified,Archive of freely downloadable fonts |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Use & Modify,https://usemodify.com,unverified,"Personal selection of beautiful, classy, punk, professional, incomplete, weird typefaces |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",1001 Free Fonts,https://www.1001freefonts.com,unverified,I think the name speaks for itself :smirk: |
type,fonts,top,free,"asset, respect the font licence (often OFL)",Font Squirrel,https://www.fontsquirrel.com,unverified,"Font Squirrel scours the internet for high quality, legitimately free fonts |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",Font Fabric,https://www.fontfabric.com/free-fonts,unverified,A digital type foundry crafting retail fonts and custom typography for various brands |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Just Free Fonts,https://justfreefonts.com,unverified,"A hand-curated collection of freeware, open-source, and public domain fonts intended for commercial use |"
type,fonts,more,free,"asset, respect the font licence (often OFL)",Tiff,https://winniethemu.github.io/tiff,unverified,A type diff tool that visually contrasts the differences between two fonts |
type,fonts,more,free,"asset, respect the font licence (often OFL)",TypeKit Practice,https://practice.typekit.com,unverified,Learn about typography practices |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Fontjoy,https://fontjoy.com,unverified,Generate font pairing in one click |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Golden Ratio,https://grtcalculator.com,unverified,Golden Ratio Typography Calculator |
type,fonts,more,free,"asset, respect the font licence (often OFL)",FontGet,https://www.fontget.com,unverified,Has a variety of fonts available to download and sorted neatly with tags |
type,fonts,top,free,"asset, respect the font licence (often OFL)",FontPair,https://fontpair.co,unverified,Helps you pair Google Fonts together
type,fonts,more,free,"asset, respect the font licence (often OFL)",Font Space,https://www.fontspace.com,unverified,A designer-centered free font website that has quick customizable previews |
type,fonts,more,free,"asset, respect the font licence (often OFL)",Abstract Fonts,http://www.abstractfonts.com,unverified,Fonts free for personal and commercial use |
